"url","New column","New column (1)"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Cross-country","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Deporte de lazo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Salto largo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Turf (hípica)","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tent pegging","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Skijöring","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Enganches ecuestres","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Jineteada gaucha","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Carreras de velocidad","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Carreras de medio fondo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Carreras de larga distancia","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Campo a través","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Carreras de vallas","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Marcha atlética","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Pruebas combinadas","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Automovilismo; Arrancones; Autocross; Automovilismo de velocidad; Autoslalom; Carrera de destrucción; Drifting; Karting; Rally; Rallycross; Rally raid","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Motociclismo; Enduro; Motociclismo estilo libre; Motociclismo de velocidad; Motocross; Speedway; Supermoto; Superquad; Snocross; Trial","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Motonáutica","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ciclismo artístico","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Polo en bicicleta","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","BMX","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bobrun","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ciclo-cross","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ciclismo de montaña","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Uniciclismo de montaña","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ciclismo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ciclismo en pista","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Uniciclismo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Adithada","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Aikidō","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Akroteri Punching","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Arnis","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Artes marciales de China","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Artes marciales mixtas","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bafaquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bajiquan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bak Mei","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bando","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Banshay","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Battōjutsu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kung fu del tigre negro","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bōjutsu","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bokator","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bokhin Baridaan","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Bothati","Deporte"
