"url","Gallery Text","Gallery Text_link","De","De_link"
"https://es.wikipedia.org/wiki/Videoconsola","AmigaCD32","https://es.wikipedia.org/wiki/AmigaCD32","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","3DO Interactive Multiplayer","https://es.wikipedia.org/wiki/3DO_Interactive_Multiplayer","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game Boy Color","https://es.wikipedia.org/wiki/Game_Boy_Color","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game Boy Light","https://es.wikipedia.org/wiki/Game_Boy_Light","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Sega Multi-Mega","https://es.wikipedia.org/wiki/Sega_Multi-Mega","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Sega Nomad","https://es.wikipedia.org/wiki/Sega_Nomad","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Virtual Boy","https://es.wikipedia.org/wiki/Virtual_Boy","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PocketStation","https://es.wikipedia.org/wiki/PocketStation","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","GP32","https://es.wikipedia.org/wiki/GP32","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PC-FX","https://es.wikipedia.org/wiki/PC-FX","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","WonderSwan","https://es.wikipedia.org/wiki/WonderSwan","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game.com","https://es.wikipedia.org/wiki/Game.com","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Casio Loopy","https://es.wikipedia.org/wiki/Casio_Loopy","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","PlayStation 2","https://es.wikipedia.org/wiki/PlayStation_2","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Xbox","https://es.wikipedia.org/wiki/Xbox","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Nintendo GameCube","https://es.wikipedia.org/wiki/Nintendo_GameCube","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Sega Dreamcast","https://es.wikipedia.org/wiki/Sega_Dreamcast","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game Boy Advance SP","https://es.wikipedia.org/wiki/Game_Boy_Advance_SP","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game Boy Advance","https://es.wikipedia.org/wiki/Game_Boy_Advance","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Game Boy Micro","https://es.wikipedia.org/wiki/Game_Boy_Micro","Videojuegos",""
"https://es.wikipedia.org/wiki/Videoconsola","Pokémon mini","https://es.wikipedia.org/wiki/Pok%C3%A9mon_mini","Videojuegos",""
