"New column","New column (1)"
"Yau Kung Mun","Deportes"
"Yawyan","Deportes"
"Yingzhaoquan","Deportes"
"Yiquan","Deportes"
"Zui Quan","Deportes"
"BT sporten","Deportes"
"Lucha libre profesional","Deportes"
"Winterguard","Deportes"
"Ball Hockey","Deportes"
"Balompié","Deportes"
"Baloncesto","Deportes"
"Balonmano","Deportes"
"Bandy","Deportes"
"Balonmano playa","Deportes"
"Béisbol","Deportes"
"Brilé","Deportes"
"Bossaball","Deportes"
"Box / indoor lacrosse","Deportes"
"Bowling","Deportes"
"Broomball","Deportes"
"Camogie","Deportes"
"Canadian football","Deportes"
"Cheerleading","Deportes"
"Cricket","Deportes"
"Curling","Deportes"
"Dodgeball","Deportes"
"Eton Wall Game","Deportes"
"Field Hockey","Deportes"
"Fistball","Deportes"
"Floorball","Deportes"
"Frisian handball","Deportes"
"Fútbol americano","Deportes"
"Fútbol australiano","Deportes"
"Fútbol de playa","Deportes"
"Futbolín","Deportes"
"Fútbol-Tenis","Deportes"
"Futsal","Deportes"
"Futvóley","Deportes"
"Fútbol gaélico","Deportes"
"Gaelic handball","Deportes"
"Gateball","Deportes"
"Goalball","Deportes"
"Handball","Deportes"
"Harrow Football","Deportes"
"Hide and seek gang tag","Deportes"
"Hornussen","Deportes"
"Horseshoe","Deportes"
"Hurling","Deportes"
"Ice Hockey","Deportes"
"Indiaca","Deportes"
"Indoor soccer","Deportes"
"Inline hockey","Deportes"
"Jugger","Deportes"
"Kabaddi","Deportes"
"Kickball","Deportes"
"Korfball","Deportes"
"Kronum","Deportes"
"Lacrosse","Deportes"
"Marching Band","Deportes"
"Mesoamerican ballgame","Deportes"
"Motorcycle speedway","Deportes"
"Netball","Deportes"
"Oina","Deportes"
"Padbol","Deportes"
"Paintball","Deportes"
"Basque pelota","Deportes"
"Pesäpallo","Deportes"
"Petanque","Deportes"
"Polo","Deportes"
"Polocrosse","Deportes"
"Ringette","Deportes"
"Rinkball","Deportes"
"Road hockey","Deportes"
"Roller Hockey","Deportes"
"Rounders","Deportes"
"Rowing","Deportes"
"Royal Shrovetide Football","Deportes"
"Rugby","Deportes"
"Rugby playa","Deportes"
"Sepak Takraw","Deportes"
"Shinty","Deportes"
"Skater hockey","Deportes"
"Slamball","Deportes"
"Softball","Deportes"
"Speedball","Deportes"
"Spongee polo","Deportes"
"Surfboat","Deportes"
"Tchoukball","Deportes"
"Tenis","Deportes"
"Tennis de velocidad","Deportes"
"Tennis Polo","Deportes"
"Throwball","Deportes"
"Ultimate football","Deportes"
"Ultimate","Deportes"
"Underwater football","Deportes"
"Underwater hockey","Deportes"
"Underwater rugby","Deportes"
"Viperball","Deportes"
"Vóleibol","Deportes"
"Vóleibol de playa","Deportes"
"Wallyball","Deportes"
"Waterpolo","Deportes"
"Wheelchair basketball","Deportes"
"Wheelchair tennis","Deportes"
"Wheelchair rugby","Deportes"
"Wiffle ball","Deportes"
"Pulseada","Deportes"
"Culturismo","Deportes"
"Powerlifting","Deportes"
"Juego de la soga","Deportes"
"Zourkhaneh","Deportes"
"Corta de troncos","Deportes"
"Fuerza de agarre","Deportes"
"Crossfit","Deportes"
"Atletismo de fuerza","Deportes"
"Halterofilia","Deportes"
"Shooter en primera persona","Deportes"
"Átlatl","Deportes"
"Baile deportivo","Deportes"
"Curling","Deportes"
"Barranquismo","Deportes"
"Casting","Deportes"
"Concursos de comer","Deportes"
"Danza en silla de ruedas","Deportes"
"Escalada","Deportes"
"Frisbee","Deportes"
"Fierljeppen","Deportes"
"hacky attack","Deportes"
"Golf","Deportes"
"Kabaddi","Deportes"
"Lanzamiento de bumerán","Deportes"
"Leñador","Deportes"
"Puentismo","Deportes"
"Ringo","Deportes"
"Skate agresivo","Deportes"
"Teterbol","Deportes"
"Twirl","Deportes"
"Ironman","Deportes"
"Pentatlón moderno","Deportes"
"Triatlón","Deportes"
"Artistic roller skating","Deportes"
"Bandy","Deportes"
"Bobrun Skating","Deportes"
"Heelys","Deportes"
"Ice hockey","Deportes"
"Ice Skating","Deportes"
"Inline speed skating","Deportes"
"Inline hockey","Deportes"
"Ringette","Deportes"
"Rinkball","Deportes"
"Rink hockey","Deportes"
"Skateboarding","Deportes"
"Freestyle slalom skating","Deportes"
"Roller derby","Deportes"
"Roller hockey","Deportes"
"Roller skating","Deportes"
"Roller speed skating","Deportes"
"Short track speed skating","Deportes"
"Skater hockey","Deportes"
"Speed skating","Deportes"
"Synchronized skating","Deportes"
"scootering","Deportes"
"American handball","Deportes"
"Fives","Deportes"
"Baloncesto","Deportes"
"Netball","Deportes"
"Voleibol","Deportes"
"Handball","Deportes"
"Fútbol tenis","Deportes"
"Radiodirección","Deportes"
"Concursos de radioaficionados","Deportes"
"Telegrafía","Deportes"
"Bádminton","Deportes"
"Badminton de salón","Deportes"
"Crossbol","Deportes"
"Frontenis","Deportes"
"Cesta-punta","Deportes"
"Matkot","Deportes"
"Paddle","Deportes"
"Pelota vasca","Deportes"
"Paddle de playa","Deportes"
"Super Tennis","Deportes"
"Pington","Deportes"
"Padel","Deportes"
"Raquetbol","Deportes"
"Raquetas","Deportes"
"Raquetlón","Deportes"
"Jeu de Paume","Deportes"
"Soft tennis","Deportes"
"Speedbol","Deportes"
"Squash","Deportes"
"Squash tennis","Deportes"
"sticke tennis","Deportes"
"Ping pong","Deportes"
"Tenis","Deportes"
"Tennis Polo","Deportes"
"Tenis de mesa","Deportes"
"Xare","Deportes"
